№,"Товары (работы, услуги)",Ед. изм.,Кол-во,Цена,Сумма,Ставка НДС,Сумма НДС,Итого,Код товара,Территория,Код страны,Код таможни,Код валюты,Стоимость в валюте
31,Перистрация нзменения в учредительные документы,УСЛУГА,7.0,17083.0,119581.0,0%,0.0,119581.0,276,--,839,КОМНЛ,4,68332.0
32,Тюбанионка 39лмка,ШТ,4.0,6306.0,25224.0,0%,0.0,25224.0,840,--,,,,
33,Матрица цветная модная COB50BT220B,ШТ,4.0,419.0,1676.0,10%,167.6,1843.6,392,Япония,96778475863896,166,КГ,2.0
34,Замена динабтров в устаноьке НВВ,КОМПЛ.,4.0,30152.0,120608.0,0%,0.0,120608.0,840,--,,,,
35,"Вороток-отвертка 1/4"" 150мм",ШТ,9.0,326.0,2934.0,0%,0.0,2934.0,156,Китай,--,,,
36,Техническая документация комплекта (мех.),МЕС.,1.0,21279.0,21279.0,0%,0.0,21279.0,643,Россия,85687436326127,,,
37,Нож строительный с металлической резьбовой ман,ШТ,9.0,312.0,2808.0,0%,0.0,2808.0,392,Япония,29013106937878,,,
38,Лезвия для ножа (унар. 10 шт),УНАК.,8.0,159.0,1272.0,0%,0.0,1272.0,643,Россия,38404490807238,,,
39,Стакобауме отвертка с хвостовиком (ОНО),УСЛ.,5.0,36396.0,181980.0,0%,0.0,181980.0,392,Япония,63808541269842,839,КОМНЛ,2.0
40,Уборка помещений территории (мес),УСЛ.,6.0,100888.0,605328.0,20%,121065.6,726393.6,840,--,796,ШТ,1.0,100888.0
41,Зернообое кофе'Arabica Ethiopia'1кг,КГ,2.0,2063.0,4126.0,10%,412.6,4538.6,840,--,,,,
42,Ханпабняхолуаа лининапмчекааSBR161M,ШТ,8.0,1836.0,14688.0,0%,0.0,14688.0,156,Китай,--,,,
